Countries,Socio-Economic Development(PC1),Social Stress(PC2),Urban & Demographic Pressure(PC3),Violence vs Distress(PC4),Employment–Health Trade-off(PC5)
Hong Kong,4.005520959484484,-1.6572638648174627,4.60790943708474,3.687491786863866,-2.0505718971445175
Sweden,1.7668081566586598,0.8851530474761949,0.3614055366623599,-0.6163969852189605,0.6599407086582505
Ireland,3.1546898537504817,0.4113829725016271,0.357301411613992,-0.25880623458768787,1.1716987457549393
Honduras,-1.3010700995360416,0.3024584481076552,-1.0413964293535847,1.8716123795346602,-0.21840649923299155
Mexico,-0.47346161448077717,0.32969868907992783,-0.9252997889884589,1.1584364109070562,-0.5814500628731858
Paraguay,-0.36718541387625603,-0.250190260622224,-0.6154555409262354,0.08366735484683836,0.05568831213856898
South Korea,2.0311660488044003,1.60568719721374,0.8278130636969021,-1.359770196291103,-1.4100948852256663
Kuwait,1.08008681301117,-1.0523762126213274,-0.6406574531417029,0.12294634167769453,0.5449466070855072
Namibia,-1.7064052907954945,0.9844008253155347,0.17488873452395032,0.3989128116108922,0.7539797048316282
Fiji,-0.6741505699357533,-0.45896567043302783,-0.5443182498273444,-0.3995624733457869,-0.5209329241041945
Tonga,-0.1011023472464511,-0.9767132184864928,-0.783468369910439,-0.15798619126559652,-0.17411511721863804
Poland,1.0148297420266177,0.18540635263530103,-0.18829801952294686,-0.7089845212020057,-0.44976252969889247
Denmark,2.0794602158589903,0.3928420804076164,0.17243992513242168,-0.3559011975863006,0.6593911362522183
Estonia,0.9220904391553579,0.7829300925502002,0.11856852675149014,-0.702045071185476,0.06586972561567667
Slovenia,1.5269836258513356,0.8892366870923797,0.13592089228273707,-1.0261131848849048,-0.582145624818905
Ecuador,-1.0616665191784411,1.3971069252381505,-1.1628803870973674,2.5074453083268264,-0.7685885285253137
Lithuania,0.7457996654841791,1.503808664661525,0.4360328300381867,-1.1361065432516646,-0.7617717053756511
Burundi,-0.9353550276828262,-0.8099716482497522,-0.5706836135042336,0.10759557682931206,-1.276522247268202
Trinidad and Tobago,-0.8144687127869179,1.6831640424577585,-0.6175841821258704,1.8557722529392995,-1.3432712215190605
Italy,1.516723363151078,-0.04503843306962499,-0.1943182875394957,-0.07282140959916417,0.8870229458117759
Seychelles,-0.17400041173811787,-0.2665021376021838,-0.506143793236581,0.5967669281674516,0.2453407359120764
Colombia,-0.6519249248377211,0.6844057057197984,-0.7950984075939608,1.4780184000622096,0.357060686117417
Iceland,2.733512106519681,0.6131469311929382,0.040491602679840505,-0.4846141778042595,0.5287460164576725
France,1.7375955697180423,1.0916828234192044,0.2709559223934666,-0.6933215659483162,0.17366639687184915
Finland,1.646637578318,0.9866239619018534,0.1903713357388902,-0.6310684155012166,0.4545225741058825
Algeria,-0.23371556310381675,-0.4501768909445279,-0.5719098080293186,0.16262618719081354,1.1584758704647662
Belgium,2.0527095316819994,1.1256651287595618,0.4716722268271068,-0.6832778216397207,-0.2331889053843028
Israel,1.9325449052635564,-0.4825065031457981,-0.3166014068218146,0.3136983473900098,0.6894647228355527
